id,Target_Index,bleu_bestmbr,chrf_bestmbr,comet_bestmbr,eTranslation,HuaweiTSC,JDExploreAcademy,Lan-Bridge,M2M100_1.2B-B4,Online-A,Online-B,Online-G,Online-W,Online-Y,PROMT,QUARTZ_TuneReranking,refA,SRPOL
0,1101,"Через несколько недель после того, как я вернулся домой, я получил письмо со списком других повреждений, за которые мне также придется платить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.","Через несколько недель после того, как я вернулся домой, я получил письмо со списком других повреждений, за которые мне также придется платить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.","Через несколько недель после возвращения домой я получил письмо со списком других повреждений, за которые возместят, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после возврата арендованного автомобиля.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучу других повреждений, за которые я должен был бы заплатить, в том числе царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул свою аренду.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучи других повреждений, за которые я должен был заплатить, включая царапины на двери, которые якобы потребовали перекрасить заднюю часть автомобиля через несколько дней после того, как я вернул свой прокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучи других повреждений, за которые с меня также взыщут - в том числе царапины на двери, которые якобы потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул свой прокат.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялось множество других повреждений, за которые я также буду платить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором упоминалось о множестве других повреждений, за которые я также был бы обременен, включая царапины на дверях, которые якобы требовали перекрашивания задней части автомобиля через несколько дней после того, как я вернул свою аренду.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением множества других повреждений, за которые мне также будут взимать плату, включая царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул свою аренду.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялось множество других повреждений, за которые я также должен был заплатить, включая царапины на двери, которые предположительно потребовали перекраски задней части автомобиля через несколько дней после того, как я вернул свою аренду.","Через несколько недель после того, как я вернулся домой, я получил письмо, в котором перечислялась куча других повреждений, за которые мне также придется заплатить, включая царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул арендованную машину.","Через несколько недель после возвращения домой я получил письмо с перечнем других повреждений, за которые с меня взыщут деньги, включая царапины на двери, которые якобы потребовали перекраски задней части автомобиля через несколько дней после возвращения машины.","Через несколько недель после возвращения домой я получил письмо с перечислением множества других повреждений, за которые мне также будет взиматься плата, включая царапины на двери, которые якобы потребовали перекраски задней части машины через несколько дней после возврата аренды.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечнем множества других повреждений, за которые с меня также будут взимать плату, включая царапины на двери, которые якобы требовали перекраски задней части машины через несколько дней после того, как я вернул свой прокат.","Через несколько недель после возвращения домой я получила письмо, в котором перечислялась масса других повреждений, за которые я должна отвечать, в том числе царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернула свою арендную плату.","Спустя несколько недель после того, как я вернулся домой, я получил письмо, в котором была перечислена куча других повреждений, в которых меня также обвиняли, — включая царапины на двери, из-за чего, якобы, потребовалось перекрасить кормовую часть машины через несколько дней после того, как я вернул автомобиль, взятый напрокат.","Через несколько недель после того, как я вернулся домой, я получил письмо с перечислением кучи других повреждений, за которые я бы также был взыскан - включая царапины на двери, которые якобы требовали перекраски задней части автомобиля через несколько дней после того, как я вернул свой прокат."
1,1922,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но могло быть и хуже.,Но все могло быть еще хуже.,Но могло быть и хуже.,Но могло быть и хуже.
2,1548,Трудно найти уникальное или нестандартное оборудование.,Сложно найти уникальное или выходящее за рамки основного оборудования то или иное оборудование.,Сложно найти уникальное или выходящее за рамки основного рынка оборудование.,"Трудно найти оборудование, которое является уникальным или вне мейнстрима.","Трудно найти оборудование, которое является уникальным или из мейнстрима.","Сложно найти оборудование, которое было бы уникальным или нестандартным.",Трудно найти уникальное или нестандартное оборудование.,"Трудно найти оборудование, которое является уникальным или выходит из основного потока.","Трудно найти оборудование, которое является уникальным или вне мейнстрима.",Трудно найти уникальное или нестандартное оборудование.,"Трудно найти оборудование, которое было бы уникальным или выходило бы за рамки мейнстрима.","Трудно найти оборудование, которое было бы уникальным или выбивалось бы из общего ряда.",Сложно найти уникальное или нестандартное оборудование.,Трудно найти уникальное или необычное оборудование.,"Трудно найти оборудование, которое было бы уникальным или нестандартным.","Сложно найти оборудование, которое уникально или отличается от общепринятого.","Сложно найти оборудование, которое было бы уникальным или нестандартным."
3,140,"Я надеюсь, что у вас есть отличный день.","Я надеюсь, что у вас есть отличный день.","Надеюсь, у вас будет отличный день","Я надеюсь, что у вас прекрасный день.","Я надеюсь, что у вас отличный день.","Я надеюсь, что у вас будет отличный день.","Я надеюсь, что у вас есть отличный день.","Надеюсь, у вас прекрасный день.","Я надеюсь, что у вас будет отличный день.","Я надеюсь, что у вас есть отличный день.","Я надеюсь, что у вас будет отличный день.","Надеюсь, у вас будет отличный день.","Надеюсь, у тебя отличный день.","Надеюсь, у вас будет отличный день.","Я надеюсь, что у вас будет отличный день.",Желаю вам приятного дня.,"Надеюсь, у вас будет отличный день."
4,104,"Первый тайм американских горок закончился тем, что ""Манстер"" вел со счетом 13:7 после того, как капитан ""Ос"" Брэд Шилдс был удален с поля за опасный подкат Дэйва Килкойна.","Первая половина «американских горок» закончилась тем, что «Манстер» вел со счетом 13: 7 после того, как капитан команды «Уоспс» Брэд Шилдс был удален с поля за опасный подкат Дэйва Килкойна.","Первый тайм на американских горках закончился тем, что ""Манстер"" лидировал 13-7 после того, как капитан ""Ос"" Брэд Шилдс был удален с поля за опасную атаку на Дэра Килкойна.","Первый тайм закончился победой «Манстера» со счётом 13:7 после того, как шкипер «Уоспс» Брэд Шилдс был удалён за опасную передачу на Дэйва Килкойна.","В первом тайме на американских горках Мюнстер лидировал со счетом 13-7 после того, как шкипер Wasps Брэд Шилдс был спорно отправлен на опасный подкат к Дэйву Килкойну.","""Мюнстер"" лидировал со счетом 13-7 после того, как капитан ""Уоспс"" Брэд Шилдс был спорно удален за опасный подкат на Дэйве Килкойне.","Первый тайм американских горок закончился тем, что <unk>Манстер<unk> лидировал со счетом 13<unk>7 после того, как капитан <unk>Ос<unk> Брэд Шилдс был удален с поля за опасный подкат Дэйва Килкойна.","Первый тайм завершился с Мюнстером, ведущим с 13 до 7, после того как командир «Васпса» Брэд Шилдс был отправлен на опасное противостояние с Дэйвом Килкойном.","Первый тайм американских горок закончился тем, что «Мюнстер» повел 13-7 после того, как шкипер «Уоспс» Брэд Шилдс был спорно удален за опасную атаку на Дэйва Килкойна.","Первый тайм американских горок закончился тем, что «Манстер» лидировал со счетом 13–7 после того, как капитан «Ос» Брэд Шилдс был удален с поля за опасный подкат Дэйва Килкойна.","Первый тайм ""американских горок"" завершился победой ""Манстера"" со счетом 13:7 после того, как шкипер ""Ос"" Брэд Шилдс был спорно удален за опасный подкат на Дэйва Килкойна.","Первая половина игры закончилась со счетом 13-7 после того, как шкипер Wasps Брэд Шилдс был удален за опасный захват Дэйва Килкойна.","Первый тайм американских горок закончился тем, что Манстер лидировал со счетом 13-7 после того, как шкипер Wasps Брэд Шилдс был спорно отправлен за опасный захват Дэйва Килкойна.","Первый тайм Rollercoaster закончился тем, что «Манстер» вел 13-7 после того, как шкипер «Уоспс» Брэд Шилдс был спорно удален за опасный подкат на Дэйва Килкойна.","Первый тайм закончился тем, что Манстер повел со счетом 13: 7 после того, как капитан ""Осов"" Брэд Шенк был спорно удален за опасную атаку на Дэйва Килкойна.","Захватывающая первая половина закончилась тем, что Мюнстер лидировал со счетом 13:7 после того, как капитан Ос Брэд Шилдс был спорно отстранен за опасный захват Дэйва Килкойна.","Первый тайм закончился победой ""Манстера"" со счетом 13:7 после того, как кипер ""Уоспс"" Брэд Шилдс был удален за опасный удар Дэйва Килкойна."
5,780,Франция отреагировала на предложение США отправить Греции фрегаты,Франция отреагировала на предложение соперников США отправить Греции фрегаты,Франция отреагировала на предложение США предоставить Греции фрегаты,Франция отреагировала на конкурирующее предложение американских фрегатов Греции,Франция отреагировала на конкурирующее предложение фрегатов США Греции,Франция отреагировала на конкурирующее предложение Греции о поставке фрегатов США,Франция отреагировала на предложение США фрегатов Греции.,Франция отреагировала на конкурентное предложение американских фрегатов Греции,Франция отреагировала на конкурирующее предложение Греции фрегатов США,Франция отреагировала на предложение соперника США отправить Греции фрегаты,Франция отреагировала на конкурирующее предложение США о поставке фрегатов Греции,Франция реагирует на конкурирующее предложение американских фрегатов Греции,Франция реагирует на конкурирующее предложение американских фрегатов Греции,Франция отреагировала на конкурирующее предложение фрегатов США Греции,Франция отреагировала на предложение США о поставках фрегатов в Грецию,Ответ Франции на предложение конкурентов из США о поставке фрегатов Греции,Франция отреагировала на конкурирующее предложение Греции американских фрегатов
6,1582,"«На самом деле мы экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню ...» Безумие.","«На самом деле мы экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...» Безумие.","«Мы фактически экономим деньги, потому что нам не нужно покупать целую бутылку соевого соуса, чтобы попробовать блюда азиатской кухни...» Безумие!","«Мы на самом деле экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...» Безумие.","""Мы действительно экономим деньги, потому что нам не нужно выходить на улицу и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню""... Безумие.","""Мы на самом деле экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню..."" Безумие.","<unk>На самом деле мы экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...<unk> Безумие.","«Мы на самом деле экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню.","«Мы на самом деле экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...» Безумие.","«На самом деле мы экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню…» Безумие.","""Мы на самом деле экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню..."" Безумие.","""Мы действительно экономим деньги, потому что нам не нужно идти и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню..."". Безумие.","«На самом деле мы экономим деньги, потому что нам не нужно выходить на улицу и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...» Безумие.","«На самом деле мы экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кулинарию»... Безумие.","""Мы фактически экономим деньги, потому что нам не надо выходить на улицу и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню""... Безумие.","«Мы действительно экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню...» Безумие.","""Мы на самом деле экономим деньги, потому что нам не нужно выходить и покупать целую бутылку соевого соуса, чтобы попробовать азиатскую кухню""... Безумие."
7,325,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем рад помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Буду более чем рад Вам помочь.,Я буду более чем рад помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Я буду более чем счастлив помочь вам.,Я с радостью помогу вам.,Я буду более чем рад помочь вам.,Я с удовольствием буду помогать вам.,Для меня было бы большей радостью помочь Вам.,Я буду более чем счастлив помочь вам.
8,391,Райдер забирает его и доставит как можно скорее.,Райдер забирает его и доставит как можно скорее.,Райдер его заберет и доставит как можно скорее.,Всадник поднимает его вверх и будет доставка как можно скорее.,Всадник забирает его и доставит как можно скорее.,Гонщик забирает его и доставит как можно скорее.,Райдер забирает его и доставит как можно скорее.,Водитель подбирает его и будет доставлять ASAP.,Гонщик забирает его и доставит как можно скорее.,Райдер забирает его и доставит как можно скорее.,Гонщик забирает его и доставит как можно скорее.,Велосипедист забирает его и доставит как можно скорее.,Всадник забирает его и доставит как можно скорее.,Гонщик забирает его и доставит как можно скорее.,Водитель его забирает и начинает вывозить.,Водитель забирает его и доставит как можно скорее.,Всадник забирает его и доставит как можно скорее.
9,718,"Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться туда.","Пожалуйста, дайте ему еще 15 минут, чтобы доехать до пункта назначения.","Пожалуйста, дайте еще 15 минут, чтобы добраться сюда.","Пожалуйста, дайте ему еще 15 минут, чтобы добраться."
